distance_km,time_of_day,traffic_level,weather,fuel_quantity,eta_minutes
9.99,Morning,Low,Clear,12.3,16.9
23.82,Afternoon,Low,Clear,16.5,35.5
18.57,Night,High,Clear,15.7,50.3
15.37,Evening,Low,Clear,4.8,31.2
4.74,Evening,Low,Clear,4.7,14.1
4.74,Evening,Medium,Clear,6.8,19.4
2.39,Evening,Low,Rainy,8.5,17.3
21.79,Evening,Medium,Clear,9.4,40.7
15.43,Morning,Low,Clear,14.2,29.0
17.99,Afternoon,Low,Clear,3.0,27.4
1.49,Morning,Low,Clear,2.6,9.6
24.28,Night,Low,Clear,9.1,47.9
20.98,Night,High,Clear,14.5,53.1
6.1,Morning,Low,Clear,5.5,9.0
5.36,Evening,Medium,Clear,13.5,20.8
5.4,Night,Low,Clear,6.7,16.4
8.3,Morning,Low,Clear,17.9,21.2
13.59,Afternoon,High,Clear,18.1,40.4
11.37,Night,Low,Clear,7.4,24.1
7.99,Morning,Medium,Clear,6.1,24.5
15.68,Evening,High,Clear,9.4,42.5
4.35,Morning,Medium,Clear,6.3,15.7
8.01,Night,High,Clear,14.1,33.4
9.79,Night,Low,Clear,16.9,27.8
11.95,Night,Low,Clear,14.1,30.1
19.84,Afternoon,Low,Clear,16.8,31.1
5.79,Night,Medium,Rainy,9.1,37.5
13.34,Evening,High,Clear,4.8,41.3
15.22,Afternoon,Low,Clear,15.3,28.2
2.11,Evening,Medium,Clear,8.5,11.4
15.58,Morning,Low,Clear,14.1,28.6
5.09,Afternoon,Medium,Clear,6.9,17.0
2.56,Morning,Low,Clear,3.5,6.0
23.77,Morning,High,Clear,19.9,54.2
24.18,Morning,Medium,Clear,4.8,44.2
20.4,Evening,Low,Clear,19.8,44.9
8.31,Afternoon,Low,Clear,19.6,22.0
3.34,Evening,Low,Rainy,16.3,18.8
17.42,Morning,Low,Clear,13.9,34.4
11.56,Afternoon,Low,Clear,12.4,28.0
3.93,Afternoon,High,Clear,17.6,34.6
12.88,Evening,Medium,Rainy,7.2,35.1
1.83,Afternoon,Medium,Clear,10.4,13.6
22.82,Evening,Low,Clear,13.1,35.9
7.21,Night,High,Clear,9.4,34.3
16.9,Evening,Medium,Clear,9.7,35.6
8.48,Morning,Low,Clear,7.9,20.9
13.48,Morning,Medium,Clear,12.2,26.6
14.12,Night,Medium,Clear,17.3,33.3
5.44,Morning,Low,Clear,5.6,8.4
24.27,Night,Low,Clear,18.8,43.1
19.6,Afternoon,Low,Clear,14.4,38.0
23.55,Night,Low,Clear,16.8,41.2
22.48,Evening,High,Clear,12.0,53.4
15.35,Night,Medium,Clear,16.0,33.6
23.12,Afternoon,Medium,Rainy,2.3,49.4
3.12,Evening,Low,Clear,16.7,18.6
5.7,Afternoon,Low,Clear,2.7,12.4
2.09,Afternoon,Medium,Clear,18.0,12.9
8.81,Evening,Medium,Rainy,19.9,36.1
10.33,Night,Low,Clear,7.3,24.7
7.51,Night,Medium,Clear,5.8,26.4
20.89,Evening,Medium,Clear,15.8,41.0
9.56,Afternoon,Low,Clear,6.6,20.1
7.74,Afternoon,Low,Clear,17.6,10.8
14.02,Evening,Medium,Clear,3.9,29.3
4.38,Morning,Low,Clear,4.3,6.4
20.25,Morning,Low,Rainy,19.6,46.2
2.79,Afternoon,Low,Clear,14.1,10.5
24.69,Morning,Low,Clear,17.2,38.0
19.53,Morning,Medium,Clear,7.8,33.7
5.77,Morning,Medium,Clear,14.2,18.5
1.13,Morning,Low,Clear,12.7,5.3
20.57,Morning,High,Clear,12.9,45.0
17.96,Night,High,Clear,14.3,48.8
18.5,Afternoon,High,Rainy,12.4,55.6
19.51,Afternoon,Low,Rainy,9.7,40.6
2.78,Evening,Low,Clear,7.0,10.0
9.6,Morning,High,Clear,15.8,37.6
3.78,Night,Medium,Rainy,6.1,23.2
21.71,Evening,Low,Clear,14.5,35.4
15.96,Morning,Low,Rainy,6.2,36.2
8.94,Afternoon,Low,Clear,13.3,17.4
2.53,Night,High,Clear,15.4,26.5
8.46,Night,Medium,Clear,5.9,24.1
8.8,Afternoon,Low,Clear,3.1,15.4
18.51,Evening,Low,Clear,4.4,37.9
16.3,Morning,Medium,Clear,12.9,35.7
22.29,Night,Medium,Clear,17.3,53.2
12.33,Morning,Low,Clear,2.8,15.1
3.87,Night,Medium,Clear,15.2,18.9
18.12,Evening,High,Rainy,8.1,45.1
19.26,Evening,Low,Clear,10.6,33.6
14.47,Afternoon,Medium,Clear,18.7,37.2
19.5,Morning,Low,Clear,8.0,33.2
12.85,Morning,Medium,Clear,10.4,26.7
13.55,Morning,Medium,Rainy,2.2,33.9
